Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
雄,おす,osu,danh từ,lang; hùng; đực; trống,,"male (animal, plant)",N1
オートマチック,,otomachikku,tính từ,tự động,,automatic,N1
衰える,おとろえる,otoroeru,động từ,úa tàn; tàn; suy tàn; suy thoái,,to become weak; to decline; to wear,N1
訪れる,おとずれる,otozureru,động từ,thăm; thăm hỏi; viếng thăm; yết kiến,,to visit; to call on,N1
乙,おつ,otsu,danh từ,giây; thứ nam; thứ nữ; xênh xang,,"(the) second (party, rank, etc.); B (grade); the latter",N1
お使い,おつかい,otsukai,danh từ,cuốc; phái bộ; tôn chỉ; phái đoàn,,errand; mission; going on an errand,N1
応募,おうぼ,oubo,động từ,đơn; ứng dụng; mục từ; mục,,"application; subscription; entry (competition, raffle, etc.)",N1
黄金,おうごん,ougon,danh từ,vàng; hoàng kim; vàng son; phồn vinh,,gold (Au),N1
応急,おうきゅう,oukyuu,danh từ,sự biến; biến,,emergency; first-aid,N1
親父,おやじ,oyaji,danh từ,tía; nổ; bọ; tách,,one's father; one's old man; dad,N1
及び,および,oyobi,liên từ,và; nhi; kiêm; với lại,,and; as well as,N1
及ぶ,およぶ,oyobu,động từ,với; đạt; tiếp cận; cập,,to reach; to amount to; to befall,N1
パチンコ,,pachinko,động từ,ná,,pachinko; mechanical gambling game superficially resembling pinball,N1
パンク,,panku,động từ,châm; xuyên qua; châm chích; chọc,,puncture; flat tyre (tire); blowout,N1
パート,,pato,danh từ,khúc; bộ phận; phần; vai,,part,N1
パトカー,,patoka,danh từ,tuần dương hạm; tàu tuần dương,,patrol car; police car; squad car,N1
ペア,,pea,danh từ,ngẫu; cặp; đôi,,pair; set of two,N1
ぺこぺこ,,pekopeko,tính từ na,đói meo; chết đói,,very hungry; starving; famished,N1
ポイント,,pointo,danh từ,chấm; điểm; ngọn; ý,,"point (of a story, argument, etc.); key point; important part",N1
ポジション,,pojishon,danh từ,thế; chủ trương; chức vị; vị thế,,position,N1
ポンプ,,ponpu,danh từ,bơm; ống bơm; guốc,,pump,N1
ポット,,potto,danh từ,nậm; cần sa; vỏ; chậu,,"pot (esp. teapot, coffee pot)",N1
ポーズ,,pozu,danh từ,tư thế; hành vi; đạo luật; hồi,,pose,N1
ライス,,raisu,danh từ,lúa; cánh,,rice (esp. when served on a plate),N1
落下,らっか,rakka,động từ,sụm; sụt; rớt; rơi,,fall; drop; descent,N1
ランプ,,ranpu,danh từ,đèn; đèn điện; yếng sáng; ánh sáng,,lamp; light,N1
レバー,,reba,danh từ,gan; can,,liver,N1
レディー,,redi,danh từ,bà,,lady,N1
レギュラー,,regyura,tính từ,chính quy; thường kì; định kì; thường xuyên,,regular; standard,N1
冷酷,れいこく,reikoku,tính từ na,tàn nhẫn; vô lương tâm; hung hiểm; phũ phàng,,cruelty; coldheartedness; relentless,N1
冷淡,れいたん,reitan,tính từ na,thờ ơ; lạnh nhạt; vô cảm; lãnh đạm,,cool; indifferent; apathetic,N1
恋愛,れんあい,renai,động từ,luyến ái; yêu; mến; thương yêu,,love; romance; tender passion,N1
連中,れんちゅう,renchuu,danh từ,bọn; nậu; giuộc; lũ,,company; lot; people,N1
レンジ,,renji,danh từ,bếp; phạm vi; lò vi ba; lò vi sóng,,range; stove; cooker,N1
連日,れんじつ,renjitsu,danh từ,hằng ngày; ngày ngày; hàng ngày,,day after day; every day,N1
連盟,れんめい,renmei,danh từ,liên minh; liên bang; đoàn; dặm,,league; federation; union,N1
連邦,れんぽう,renpou,danh từ,liên bang; bang liên; thịnh vượng chung; liên minh,,federation (of states); confederation; commonwealth,N1
連帯,れんたい,rentai,động từ,hỗn hợp; khớp; khớp xương; mắt,,solidarity,N1
レンタカー,,rentaka,danh từ,xe hợp đồng,,rental car; rent-a-car; hire car,N1
レントゲン,,rentogen,danh từ,tia X,,X-ray,N1
レッスン,,ressun,danh từ,bài học; bài,,lesson,N1
レース,,resu,danh từ,giống nòi; nòi giống; nòi,,race,N1
リード,,rido,động từ,chủ đạo; chóp bu; hàng đầu; dắt,,lead; leading; taking the lead,N1
利潤,りじゅん,rijun,danh từ,lợi nhuận; lợi; lời; trở lại,,profit; returns,N1
理屈,りくつ,rikutsu,danh từ,lẽ; cớ; học thuyết; lí do,,theory; reason; logic,N1
林業,りんぎょう,ringyou,danh từ,lâm nghiệp,,forestry,N1
立法,りっぽう,rippou,động từ,pháp chế; lập pháp,,(enactment of) legislation; lawmaking,N1
履歴,りれき,rireki,danh từ,lí lịch; phông; chức nghiệp; lai lịch,,personal history; background; career,N1
理論,りろん,riron,danh từ,học thuyết; lí luận; lí thuyết; thuyết,,theory,N1
理性,りせい,risei,danh từ,lí do; duyên do; lẽ; nguyên cớ,,reason; reasoning power; (one's) sense,N1
利子,りし,rishi,danh từ,hứng thú; lãi; lợi tức; thú vui,,"interest (on a deposit, loan, etc.)",N1
利息,りそく,risoku,danh từ,hứng thú; lãi; lợi tức; thú vui,,"interest (on a loan, deposit etc.)",N1
利点,りてん,riten,danh từ,lợi thế; ích lợi; ưu thế; lợi,,advantage; point in favor; point in favour,N1
露骨,ろこつ,rokotsu,tính từ na,mở; ngỏ; giãi; khai,,open; unconcealed; undisguised,N1
ロマンチック,,romanchikku,tính từ na,bay bổng; tình tứ; lãng mạn,,romantic,N1
論議,ろんぎ,rongi,động từ,luận điệu; biện luận; đối số; bàn cãi,,discussion; argument; debate,N1
論理,ろんり,ronri,danh từ,luận lí; luận lí học; lôgic,,logic,N1
ロープ,,ropu,danh từ,chão; thừng; dây; chạc,,rope,N1
浪費,ろうひ,rouhi,động từ,hoang phí; hoài phí; lãng phí; phung phí,,waste; extravagance,N1
労力,ろうりょく,rouryoku,danh từ,lao động; cù lao; công sức; nhân công,,labour; labor; effort,N1
類,るい,rui,danh từ,loại; thứ; loài; hạng,,kind; sort; type,N1
類似,るいじ,ruiji,động từ,hình hoạ; loại suy,,resemblance; similarity; likeness,N1
類推,るいすい,ruisui,động từ,loại suy,,analogy,N1
ルーズ,,ruzu,tính từ na,chùng; long; lỏng lẻo; lơi,,loose (e.g. belt),N1
略奪,りゃくだつ,ryakudatsu,động từ,vơ vét; cướp bóc; xơ múi; bóc lột,,pillage; plunder; looting,N1
略語,りゃくご,ryakugo,danh từ,teencode,,abbreviation; acronym,N1
旅客,りょかく,ryokaku,danh từ,hành khách; khách,,passenger,N1
旅券,りょけん,ryoken,danh từ,giấy thông hành; hộ chiếu,,passport,N1
領地,りょうち,ryouchi,danh từ,cương vực; lãnh thổ; lãnh địa; lĩnh thổ,,territory; dominion; grounds (e.g. school),N1
領土,りょうど,ryoudo,danh từ,cương vực; lãnh thổ; lãnh địa; lĩnh thổ,,territory; domain; dominion,N1
領域,りょういき,ryouiki,danh từ,cương vực; lĩnh vực; cõi; lãnh thổ,,territory; domain,N1
了解,りょうかい,ryoukai,động từ,trí lự; khứng; quan niệm; hiệp định,,comprehension; consent; understanding,N1
領海,りょうかい,ryoukai,danh từ,lãnh hải; vùng biển,,territorial waters,N1
良好,りょうこう,ryoukou,tính từ na,tốt đẹp; khả quan; giỏi; ngoan,,good; fine; excellent,N1
良心,りょうしん,ryoushin,danh từ,lương tâm; thiên lương; lương tri,,conscience,N1
良質,りょうしつ,ryoushitsu,tính từ na,đức tính,,good quality; fine quality; superior quality,N1
了承,りょうしょう,ryoushou,động từ,quan niệm; a ha; khứng; hiểu biết,,acknowledgement; acknowledgment; understanding,N1
流通,りゅうつう,ryuutsuu,động từ,hàng loạt; chảy; túa; ùa,,"circulation (of money, goods, etc.); distribution",N1
サボる,,saboru,động từ,chểnh mảng; cúp,,to be truant; to slack off; to play hooky,N1
定める,さだめる,sadameru,động từ,quyết; ấn định; xác định; xác minh,,to decide; to determine,N1
遮る,さえぎる,saegiru,động từ,chặn; chặn đứng; chèn; chịt,,"to interrupt; to obstruct (a view, someone's way, etc.); to block (light, wind, etc.)",N1
冴える,さえる,saeru,động từ,tỉnh; tỉnh táo,,"to be clear (of a sight, sound, colour, etc.); to be bright; to be vivid",N1
差額,さがく,sagaku,danh từ,cán cân; thăng bằng; cân; cân bằng,,"balance; difference (in price, cost); margin",N1
詐欺,さぎ,sagi,danh từ,lừa đảo; tham ô; bịp bợm; trò,,fraud; swindle; graft,N1
細胞,さいぼう,saibou,danh từ,tế bào; xà lim; chi bộ,,cell,N1
災害,さいがい,saigai,danh từ,hoạn nạn; vạ; tai hoạ; tai ách,,calamity; disaster; misfortune,N1
再現,さいげん,saigen,động từ,trở lại; cải tử hoàn sinh; quay lại; hoàn,,reappearance; reemergence; return,N1
再発,さいはつ,saihatsu,động từ,trở lại; quay lại; hoàn; hoàn trả,,return; relapse; recurrence,N1
採決,さいけつ,saiketsu,động từ,đầu phiếu; biểu quyết; bình chọn; bầu phiếu,,vote; ballot; division,N1
細菌,さいきん,saikin,danh từ,vi khuẩn; vi trùng; khuẩn; mộng,,bacterium; bacteria; germ,N1
細工,さいく,saiku,động từ,làm lụng; làm việc; làm ăn; mần,,work; workmanship; craftsmanship,N1
サイクル,,saikuru,danh từ,chu trình; chu kì,,cycle,N1
採算,さいさん,saisan,danh từ,lợi nhuận; lợi; lời,,profit,N1
採択,さいたく,saitaku,động từ,lựa chọn; tuyển chọn,,adoption; selection; choice,N1
採用,さいよう,saiyou,động từ,dùng; lợi dụng; xài; tiêu thụ,,use; adoption; acceptance,N1
サイズ,,saizu,danh từ,kích thước; cỡ; khổ; số,,size,N1
栄える,さかえる,sakaeru,động từ,hưng khởi; phát đạt; nở rộ,,to prosper; to flourish; to thrive,N1
叫び,さけび,sakebi,danh từ,rú; hét; quát; la,,shout; cry; outcry,N1
避ける,さける,sakeru,động từ,lánh; né tránh; cạch; kiêng,,to avoid (physical contact with),N1
先,さき,saki,danh từ,ngọn; mút; chấm; điểm,,point; tip; end,N1
削減,さくげん,sakugen,động từ,húi; cắt; chặt; chém,,cut; reduction; curtailment,N1
錯誤,さくご,sakugo,danh từ,lỗi; lỗi lầm; sai sót; phốt,,mistake; error; discrepancy,N1
作戦,さくせん,sakusen,danh từ,sách lược; chiến thuật; chiến lược; phương sách,,tactics; strategy,N1
様,さま,sama,hậu tố,cụ; hoa hậu; gái; hoa khôi,,Mr; Mrs; Miss,N1
寒気,さむけ,samuke,danh từ,co ro; lẩy bẩy; rùng mình; run,,chill; the shivers; shivering fit,N1
侍,さむらい,samurai,danh từ,võ sĩ; chiến binh; tráng sĩ; chiến sĩ,,warrior (esp. of military retainers of daimyos in the Edo period); samurai,N1
酸,さん,san,danh từ,a-xít; axit; axít; toan,,acid,N1
桟橋,さんばし,sanbashi,danh từ,bến tàu; bến; cầu nối; trọng tải,,wharf; bridge; jetty,N1
賛美,さんび,sanbi,động từ,khen ngợi; tán dương; ban khen; khen,,praise; glorification; extolment,N1
産物,さんぶつ,sanbutsu,danh từ,sản vật; sản phẩm; tích; mặt hàng,,product; produce,N1
山岳,さんがく,sangaku,danh từ,núi non,,mountain chain; mountains,N1
サンキュー,,sankyu,thán từ,cám ơn; cảm tạ; tạ ơn; tạ,,thank you; thanks,N1
山脈,さんみゃく,sanmyaku,danh từ,dãy núi; mạch núi; rặng núi; sơn mạch,,mountain range; mountain belt,N1
参照,さんしょう,sanshou,động từ,tham khảo; tham chiếu,,"reference (e.g. to a dictionary, passage, footnotes); consultation; comparison",N1
サンタクロース,,santakurosu,danh từ,ông già Nô-en,,Santa Claus,N1
竿,さお,sao,danh từ,cần; roi; roi vọt; trượng,,rod; pole,N1
捧げる,ささげる,sasageru,động từ,xốc; vén; đỡ; giơ,,to lift up; to hold up; to hold above eye level,N1
細やか,ささやか,sasayaka,tính từ na,nhỏ; mọn; nhỏ bé; nhỏ nhoi,,small; little; tiny,N1
差し出す,さしだす,sashidasu,động từ,chìa; chống giữ; mở mang; mở rộng,,to hold out; to extend (e.g. a hand),N1
差し掛かる,さしかかる,sashikakaru,động từ,mấp mé; tiếp cận; xáp; tiệm cận,,to come near (to); to approach,N1
差し支える,さしつかえる,sashitsukaeru,động từ,can thiệp; xía; xỉa; xen,,to interfere (with); to hinder; to be hindered (from doing),N1
指図,さしず,sashizu,động từ,chỉ dẫn; cầu khiến; hạ lệnh; chỉ thị,,directions; instructions; orders,N1
察する,さっする,sassuru,động từ,đoán; phỏng đoán; cảm nhận; luận tội,,to guess; to sense; to presume,N1
悟る,さとる,satoru,động từ,trông thấy; cảm nhận; nghĩa; nghĩa lí,,to sense; to perceive; to notice,N1
札,さつ,satsu,danh từ,giấy bạc; dự luật; ghi chú; mỏ,,banknote; bill; note,N1
殺人,さつじん,satsujin,động từ,giết chết; giết hại; sát phạt; sát hại,,murder; homicide; manslaughter,N1
障る,さわる,sawaru,động từ,kìm hãm; khích; ngáng; chèn ép,,to be harmful to; to hinder; to interfere with,N1
作用,さよう,sayou,động từ,tác động; động thái; động tác; hành động,,action; operation; process,N1
授ける,さずける,sazukeru,động từ,ban tặng; phê duyệt; cấp; cho,,to grant; to give; to confer,N1
設置,せっち,secchi,động từ,đơn vị; chế định; thể chế; cơ cấu,,establishment; institution,N1
折衷,せっちゅう,secchuu,động từ,thoả hiệp; khoan nhượng; dàn xếp; băng qua,,compromise; cross; blending,N1
世代,せだい,sedai,danh từ,thế hệ; thế đại; trà; đời,,generation,N1
盛大,せいだい,seidai,tính từ na,giàu mạnh; phồn thịnh; thịnh; thịnh vượng,,grand; magnificent; lavish,N1
制服,せいふく,seifuku,danh từ,sắc phục; đồng phục; đồng loạt; thuần,,uniform,N1
正義,せいぎ,seigi,danh từ,chính nghĩa; công lí; quyền; ngãi,,justice; right; righteousness,N1
製法,せいほう,seihou,danh từ,công thức,,manufacturing method; recipe; formula,N1
生育,せいいく,seiiku,động từ,diễn biến; phát triển; khuếch trương,,birth and growth; giving birth and raising; development,N1
誠実,せいじつ,seijitsu,tính từ na,ngay thật; thành thật; thành thực; trung thực,,sincere; honest; faithful,N1
正常,せいじょう,seijou,tính từ na,bình thường; thường tình; thường thường; chính quy,,normal; regular,N1
成果,せいか,seika,danh từ,cứu cánh; kết quả; kết cuộc; thành quả,,(good) result; outcome; fruits (of one's labors),N1
生計,せいけい,seikei,danh từ,sinh kế; sống,,livelihood; living,N1
政権,せいけん,seiken,danh từ,chính quyền,,(political) administration; political power,N1
精密,せいみつ,seimitsu,tính từ na,chuẩn xác; chính xác; xác đáng; đúng,,precise; exact; detailed,N1
勢力,せいりょく,seiryoku,danh từ,khí thế; uy lực; sức lực; sức mạnh,,influence; power; might,N1
制裁,せいさい,seisai,động từ,chế tài; hình phạt,,sanctions; punishment,N1
政策,せいさく,seisaku,danh từ,chính sách; chủ trương; chế độ,,political measures; policy,N1
生死,せいし,seishi,danh từ,luân hồi,,life and death; life or death,N1
静止,せいし,seishi,động từ,nghỉ ngơi; ngơi; giải lao,,stillness; rest; being stationary,N1
青春,せいしゅん,seishun,danh từ,thanh xuân; giới trẻ; thanh thiếu niên; tuổi trẻ,,youth; adolescence; springtime of life,N1
制する,せいする,seisuru,động từ,ngần ngại; ghìm; mã lặc,,"to hold back (e.g. emotions); to rein in (e.g. a horse, unruly people); to bridle",N1
制定,せいてい,seitei,động từ,nghị định; đơn vị,,enactment; establishment; creation,N1
正当,せいとう,seitou,tính từ na,chính đáng; công chính; vừa; pháp lí,,just; justifiable; right,N1
制約,せいやく,seiyaku,động từ,bệnh chứng; ngữ; điều kiện; ràng buộc,,limitation; restriction; condition,N1
星座,せいざ,seiza,danh từ,chòm sao,,constellation,N1
急かす,せかす,sekasu,động từ,bươn; ốp; gấp; dằn,,to hurry (up); to urge on; to press,N1
責務,せきむ,sekimu,danh từ,bổn phận; phận sự; nghĩa vụ,,duty; obligation,N1
セックス,,sekkusu,động từ,chuyện đó; chuyện ấy; tình dục; quan hệ tình dục,,sex; sexual intercourse,N1
セクション,,sekushon,danh từ,chi hội; phân hội; khúc; chặng,,section,N1
攻め,せめ,seme,danh từ,công kích; xung kích; kích động; tiến công,,attack; offence; offense,N1
先だって,せんだって,sendatte,danh từ,bữa hổm; dạo này; mới đây; vừa mới,,the other day; some time ago; recently,N1
宣言,せんげん,sengen,động từ,tuyên ngôn; tuyên bố; thông cáo; thông báo,,declaration; proclamation; announcement,N1
繊維,せんい,seni,danh từ,thớ; sợi; xơ,,fibre; fiber,N1
戦術,せんじゅつ,senjutsu,danh từ,chiến thuật; sách lược,,tactics,N1
船舶,せんぱく,senpaku,danh từ,chậu; bình; tàu thuỷ; nôốc,,vessel; ship; shipping,N1
戦力,せんりょく,senryoku,danh từ,tài cán; quyền năng; thân thủ; bản lĩnh,,war potential; military strength; fighting power,N1
占領,せんりょう,senryou,động từ,của cải; chiếm lĩnh; chiếm đóng; cầm,,occupying; having (an area) all to oneself,N1
専修,せんしゅう,senshuu,động từ,bộ môn,,specialization; specialisation,N1
センス,,sensu,danh từ,vị; khẩu vị; mùi vị; thị hiếu,,"taste (in fashion, music, etc.); sense (e.g. of humour); flair",N1
潜水,せんすい,sensui,động từ,nhảy cầu,,diving; submerging; going underwater,N1
先天的,せんてんてき,sententeki,tính từ na,bẩm sinh; bẩm chất; nội tại; di truyền,,inborn; innate; inherent,N1
戦闘,せんとう,sentou,động từ,đấu; đánh nhau; trận đánh; chiến đấu,,battle; fight; combat,N1
セレモニー,,seremoni,danh từ,buổi lễ; nghi lễ; lễ; lễ đường,,ceremony,N1
接触,せっしょく,sesshoku,động từ,chạm; mó; rớ; sờ mó,,touch; contact; touching,N1
世帯,せたい,setai,danh từ,nhà; hộ; gia hộ; gia đình,,household; home; family,N1
切実,せつじつ,setsujitsu,tính từ na,tha thiết; thiết tha; sắc bén; thật lòng,,earnest; sincere; acute,N1
切ない,せつない,setsunai,tính từ i,sâu cay; đau đớn; đoạn trường; đắng cay,,painful; heartrending; trying,N1
設立,せつりつ,setsuritsu,động từ,đơn vị,,establishment; founding,N1
設定,せってい,settei,động từ,đơn vị; khung cảnh; hiện trường; cảnh tượng,,establishment; creation; posing (a problem),N1
斜面,しゃめん,shamen,danh từ,triền; dốc; xiêu,,slope; slanting surface; bevel,N1
洒落る,しゃれる,shareru,động từ,đùa; bông đùa; pha trò; giễu,,to dress stylishly,N1
仕上がり,しあがり,shiagari,danh từ,hết; hoàn thành; hoàn tất; chung,,finish; end; completion,N1
仕上げる,しあげる,shiageru,động từ,hoàn thiện; trải qua; hoàn tất; đả thông,,to finish up; to complete; to finish off,N1
芝,しば,shiba,danh từ,bãi cỏ; địa bàn,,lawn; sod; turf,N1
私物,しぶつ,shibutsu,danh từ,vật tư,,private property; personal belongings; personal effects,N1
仕入れる,しいれる,shiireru,động từ,mua; chác; sắm; đong,,"to buy (stock, materials, etc.); to purchase; to lay in",N1
強いる,しいる,shiiru,động từ,bức; thúc ép; bức bách; bắt buộc,,to force; to compel; to coerce,N1
支持,しじ,shiji,động từ,cấp dưỡng; nuôi sống; ủng hộ; bợ,,support; backing; endorsement,N1
歯科,しか,shika,danh từ,nha khoa,,dentistry,N1
仕掛ける,しかける,shikakeru,động từ,khởi đầu; khởi; khởi phát; khởi sự,,to start; to begin; to commence,N1
死刑,しけい,shikei,danh từ,tử hình,,death penalty; capital punishment,N1
資金,しきん,shikin,danh từ,vốn; tư bản; kinh sư; vốn liếng,,funds; capital,N1
色彩,しきさい,shikisai,danh từ,màu; sắc; ghi; tô,,colour; color; hue,N1
シック,,shikku,tính từ na,kẻng; xênh xang; tinh khôn; chất chơi,,chic; stylish; smart,N1
失脚,しっきゃく,shikkyaku,động từ,rơi; sa; thất thủ; sụm,,losing one's position; losing one's standing; downfall,N1
嗜好,しこう,shikou,động từ,khẩu vị; thị hiếu; vị; mùi vị,,taste; liking; preference,N1
志向,しこう,shikou,động từ,bản chí; chủ ý; ý định; ý đồ,,intention; aim; preference (for),N1
思考,しこう,shikou,động từ,tư tưởng; tâm tư; ý niệm; tư duy,,thought; consideration; thinking,N1
しくじる,,shikujiru,động từ,chết máy; đổ bể; bại; thất bại,,to fail; to blunder; to mess up,N1
始末,しまつ,shimatsu,động từ,siết chặt; hoàn cảnh; cá biệt; bối cảnh,,management; dealing with; settlement,N1
使命,しめい,shimei,danh từ,phái bộ; tôn chỉ; phái đoàn; cuốc,,mission; errand,N1
染みる,しみる,shimiru,động từ,xuyên qua; châm; chích; chọt,,to pierce; to penetrate; to soak in,N1
シナリオ,,shinario,danh từ,kịch bản; chữ viết; văn tự; chữ nghĩa,,script; screenplay,N1
しなやか,,shinayaka,tính từ na,uyển chuyển; dẻo; co giãn; mềm mại,,supple; flexible; elastic,N1
心中,しんちゅう,shinchuu,danh từ,tinh thần; nội tâm; tính ý; bụng,,one's heart; the mind; inner feelings,N1
神殿,しんでん,shinden,danh từ,miếu; điện; chùa chiền; giáo đường,,temple; shrine; sanctuary,N1
振動,しんどう,shindou,động từ,đánh đu; đung đưa; dao động; đu,,oscillation; vibration; swing (e.g. of a pendulum),N1
審議,しんぎ,shingi,động từ,trí lự,,deliberation; discussion; consideration,N1
信者,しんじゃ,shinja,danh từ,tín đồ; vây cánh; quá khích,,believer; adherent; devotee,N1
新人,しんじん,shinjin,danh từ,tuyển; tân binh; chiêu mộ; tuyển dụng,,newcomer; new figure; new member,N1
真実,しんじつ,shinjitsu,danh từ,chân; phản ánh; hiện thực; thực tại,,truth; reality,N1
心情,しんじょう,shinjou,danh từ,cảm xúc; bồi đắp,,sentiment; emotions; one's feelings,N1
真珠,しんじゅ,shinju,danh từ,ngọc trai; trân châu,,pearl,N1
進化,しんか,shinka,động từ,diễn tiến; tiến triển; diễn biến; vượt bậc,,evolution,N1
信任,しんにん,shinnin,động từ,kí thác; tin cậy; tin; tin tưởng,,trust; confidence; credence,N1
凌ぐ,しのぐ,shinogu,động từ,chịu đựng; kham; chịu; cắn răng,,to endure; to keep out (e.g. rain); to stave off (e.g. starvation),N1
神秘,しんぴ,shinpi,danh từ,bí ẩn; bí mật; bí quyết; cơ mật,,mystery; mysteriousness; secret,N1
侵略,しんりゃく,shinryaku,động từ,xâm lược; xâm lăng; càn quét; càn,,invasion (e.g. of a country); raid; aggression,N1
審査,しんさ,shinsa,động từ,siết chặt; kiểm điểm; phúc tra; review,,judging; inspection; examination,N1
神聖,しんせい,shinsei,danh từ,phẩm cách; phẩm giá; thể diện,,holiness; sacredness; sanctity,N1
紳士,しんし,shinshi,danh từ,trượng phu,,gentleman,N1
進出,しんしゅつ,shinshutsu,động từ,tiến; tiến lên; xuất; tấn tới,,"advance (into a new market, industry, etc.); expansion (into); launch (into)",N1
真相,しんそう,shinsou,danh từ,chân; phản ánh,,truth; real situation,N1
進呈,しんてい,shintei,động từ,thuyết trình,,presentation (e.g. of a gift),N1
進展,しんてん,shinten,động từ,tiến triển; vượt bậc; tiến tới; tấn tới,,progress; development,N1
親善,しんぜん,shinzen,danh từ,tình bạn; thành ý; tình nghĩa,,friendship; goodwill; friendly relations,N1
潮,しお,shio,danh từ,triều; thuỷ triều; con nước; trào,,tide; current,N1
調べ,しらべ,shirabe,danh từ,siết chặt; xoang; âm điệu; làn điệu,,investigation; inspection; examination,N1
指令,しれい,shirei,động từ,chỉ thị; cầu khiến; hạ lệnh; sai khiến,,order; directive; instructions,N1
記す,しるす,shirusu,động từ,chép; biên chép; biên; nêu ra,,to write down; to note down; to jot down,N1
資産,しさん,shisan,danh từ,tài sản; mặt bằng; của cải; sản nghiệp,,property; fortune; means,N1
視察,しさつ,shisatsu,động từ,siết chặt; nhận xét; quan sát,,inspection; observation,N1
施設,しせつ,shisetsu,động từ,cơ sở; cơ sở vật chất; chế định; đơn vị,,facility; facilities; institution,N1
子息,しそく,shisoku,danh từ,thứ nam; con trai; nốt chu sa; con,,(another's) son,N1
質素,しっそ,shisso,tính từ na,đạm bạc; bình dị; mộc mạc; giản dị,,simple; plain,N1
システム,,shisutemu,danh từ,chế độ; hệ; hệ thống; thể chế,,system,N1
下地,したじ,shitaji,danh từ,cơ sở; nền; căn cơ; nền tảng,,groundwork; foundation,N1
仕立てる,したてる,shitateru,động từ,tạo; chế tạo; khiến; làm cho,,to tailor; to make (clothing),N1
慕う,したう,shitau,động từ,thương nhớ; nguyền; nhớ nhung; yêu dấu,,to yearn for; to long for; to pine for,N1
シート,,shito,danh từ,ghế; chỗ; chỗ ngồi; bàn toạ,,seat,N1
淑やか,しとやか,shitoyaka,tính từ na,nhã; trang nhã; cao nhã; lễ độ,,graceful; ladylike; modest,N1
質疑,しつぎ,shitsugi,động từ,chất vấn; cật vấn; hỏi cung; tra hỏi,,question,N1
躾,しつけ,shitsuke,danh từ,kỉ luật; môn; thể thống,,discipline; training; teaching manners,N1
嫉妬,しっと,shitto,động từ,máu Hoạn thư; nạnh; ganh; ganh tị,,jealousy; envy,N1
視野,しや,shiya,danh từ,quang cảnh; tính ý; cảnh vật; kiến giải,,field of vision; view,N1
使用人,しようにん,shiyounin,danh từ,nhân viên; tớ; gia đinh; nô tài,,employee; servant,N1
沈める,しずめる,shizumeru,động từ,trầm; đắm; sụt lún; lún,,to sink (e.g. a ship); to submerge,N1
ショー,,sho,danh từ,sô; chường; cho thấy; thể hiện,,show; performance,N1
処罰,しょばつ,shobatsu,động từ,hình phạt; tiền phạt; vạ,,punishment; penalty,N1
処分,しょぶん,shobun,động từ,đạc điền; lường; đo; đo đạt,,disposal; throwing away; selling off,N1
しょっちゅう,,shocchuu,trạng từ,trước sau; mãi; hằng; hoài,,always; all the time; constantly,N1
処置,しょち,shochi,động từ,đạc điền; lường; đo; đo đạt,,measure; step; dealing with,N1
所持,しょじ,shoji,động từ,của cải; lục đục,,possession; having (on one's person); carrying (with one),N1
職員,しょくいん,shokuin,danh từ,nhân viên; công nhân,,staff member; employee; worker,N1
植民地,しょくみんち,shokuminchi,danh từ,quần thể; thuộc địa,,colony,N1
諸君,しょくん,shokun,danh từ,tiên sinh; khán quan; ngươi; bố nó,,you (people),N1
庶民,しょみん,shomin,danh từ,bách tính; trăm họ; thường dân; thứ nhân,,common people; ordinary people; masses,N1
所定,しょてい,shotei,tính từ,cố định; nhất định; định kì; xơ cứng,,prescribed; designated; appointed,N1
所得,しょとく,shotoku,danh từ,công cán; doanh thu; thu nhập; lương,,income; earnings,N1
象徴,しょうちょう,shouchou,động từ,biểu tượng; kí hiệu; phù hiệu; hình tượng,,symbol (of something abstract); emblem; (symbolic) representation,N1
承諾,しょうだく,shoudaku,động từ,khứng; bằng lòng; thoả thuận; đồng ý,,consent; approval; acceptance,N1
衝撃,しょうげき,shougeki,danh từ,choáng; sốc; alô; điếng,,impact; shock; impulse,N1
証言,しょうげん,shougen,động từ,bằng cớ; chứng tích; bằng chứng; chứng cứ,,testimony; (verbal) evidence,N1
証拠,しょうこ,shouko,danh từ,bằng cớ; chứng tích; bằng chứng; chứng cứ,,evidence; proof,N1
消去,しょうきょ,shoukyo,động từ,bù trừ,,erasure; deletion; elimination,N1
小児科,しょうにか,shounika,danh từ,nhi khoa,,pediatrics,N1
奨励,しょうれい,shourei,động từ,kích thích,,encouragement; promotion; inducement,N1
勝利,しょうり,shouri,động từ,chiến thắng; thắng; thắng lợi; thăng hoa,,victory; triumph; win,N1
詳細,しょうさい,shousai,danh từ,chi tiết; riêng; cụ thể; ngọn ngành,,details; particulars; specifics,N1
消息,しょうそく,shousoku,danh từ,thông tấn; bản tin; tin tức; tín,,news (from someone); letter; contact,N1
称する,しょうする,shousuru,động từ,triệu tập; điện thoại; gọi; cho tên,,to call; to name,N1
所有,しょゆう,shoyuu,động từ,của cải,,possession; ownership,N1
所在,しょざい,shozai,động từ,vị trí; địa điểm; chỗ ngồi; chỗ,,location (of); position; whereabouts,N1
所属,しょぞく,shozoku,động từ,sở thuộc; liên hệ,,"belonging to (a group, organization, etc.); affiliation (with); being attached to",N1
